Season,Season,Name,Level,Age,PA,BB%,K%,ISO,GB%,wRC+
309,2025,Dylan Jasso,AA,22,537,7.80%,24.20%,0.142,35.80%,115
310,2025,Maykel Coret,DSL,17,188,12.80%,22.30%,0.097,43.00%,115
311,2025,Ivan Luciano,CPX,18,166,16.90%,18.70%,0.107,43.40%,115
312,2025,Alex Freeland,AAA,23,508,16.30%,21.90%,0.188,41.60%,115
313,2025,Gabriel Rincones Jr.,AAA,24,506,15.80%,22.50%,0.189,45.30%,115
314,2025,Yordani Martinez,DSL,18,196,18.40%,18.90%,0.145,40.00%,115
315,2025,Yeiferth Castillo,CPX,18,187,9.10%,12.80%,0.133,41.70%,115
316,2025,Sam Hilliard,AAA,31,414,11.40%,26.10%,0.277,36.60%,114
317,2025,Sami Manzueta,DSL,16,195,21.50%,18.50%,0.168,49.00%,114
318,2025,Teilon Serrano,DSL,17,189,14.80%,25.40%,0.168,40.90%,114
319,2025,Evan Estevez,DSL,17,215,14.40%,27.90%,0.173,41.10%,114
320,2025,Adolfo Miranda,DSL,18,187,5.30%,17.10%,0.183,45.50%,114
321,2025,Aidan Smith,A+,20,459,11.50%,31.20%,0.151,40.50%,114
322,2025,Caden Connor,AA,24,390,11.00%,15.10%,0.096,49.50%,114
323,2025,Cristhian Vaquero,A,20,445,10.30%,24.70%,0.14,36.10%,114
324,2025,Ricardo Olivar,AA,23,407,12.00%,18.20%,0.148,41.20%,114
325,2025,Ty Southisene,A,19,389,15.90%,14.90%,0.032,59.30%,114
